Bicentenario 2015;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO;SEXO;Tramo edad;S1.-Eliminar la pobreza 1;S1.-Eliminar la pobreza 2;S1.-Eliminar la pobreza 3;S1.-Eliminar la pobreza 4;S2.-Ser un país desarrollado 1;S2.-Ser un país desarrollado 2;S2.-Ser un país desarrollado 3;S2.-Ser un país desarrollado 4;S3.-Detener el daño al medio ambiente 1;S3.-Detener el daño al medio ambiente 2;S3.-Detener el daño al medio ambiente 3;S3.-Detener el daño al medio ambiente 4
1;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
2;Mujer;3;1;9;9;9;9;2;9;9;1;9;9;9
3;Hombre;5;9;2;9;9;9;2;9;9;1;9;9;9
4;Hombre;5;9;9;3;9;9;9;3;9;9;2;9;9
5;Hombre;5;9;2;9;9;9;9;3;9;9;2;9;9
6;Mujer;5;9;2;9;9;9;9;3;9;1;9;9;9
7;Mujer;5;9;9;9;4;9;9;9;4;1;9;9;9
8;Hombre;4;9;9;3;9;9;9;3;9;9;9;9;4
9;Hombre;2;1;9;9;9;9;9;3;9;1;9;9;9
10;Hombre;2;9;2;9;9;9;9;3;9;1;9;9;9
11;Mujer;5;1;9;9;9;9;2;9;9;1;9;9;9
12;Hombre;5;9;2;9;9;9;9;3;9;1;9;9;9
13;Hombre;5;9;2;9;9;9;9;3;9;1;9;9;9
14;Mujer;3;9;2;9;9;9;9;3;9;1;9;9;9
15;Hombre;5;9;9;3;9;9;9;3;9;9;2;9;9
16;Hombre;1;9;2;9;9;9;9;3;9;1;9;9;9
17;Hombre;3;9;9;3;9;9;9;3;9;9;2;9;9
18;Mujer;2;9;2;9;9;9;9;3;9;1;9;9;9
19;Hombre;3;9;2;9;9;9;9;3;9;1;9;9;9
20;Mujer;2;9;9;3;9;9;2;9;9;9;9;3;9
21;Hombre;5;9;2;9;9;9;9;3;9;9;2;9;9
22;Hombre;3;1;9;9;9;9;2;9;9;9;9;3;9
23;Hombre;3;9;9;3;9;9;9;3;9;1;9;9;9
24;Hombre;2;9;2;9;9;9;9;3;9;1;9;9;9
25;Mujer;4;9;2;9;9;9;2;9;9;9;9;3;9
26;Hombre;2;9;2;9;9;9;9;3;9;1;9;9;9
27;Hombre;2;9;2;9;9;9;2;9;9;1;9;9;9
28;Mujer;3;1;9;9;9;9;2;9;9;1;9;9;9
29;Mujer;5;9;2;9;9;9;9;3;9;1;9;9;9
30;Mujer;3;1;9;9;9;1;9;9;9;1;9;9;9
31;Hombre;5;9;9;3;9;9;9;3;9;9;2;9;9
32;Hombre;4;9;9;3;9;9;9;3;9;9;2;9;9
33;Mujer;2;9;2;9;9;1;9;9;9;9;9;3;9
34;Mujer;5;9;2;9;9;9;9;3;9;9;9;9;9
35;Mujer;4;9;9;3;9;9;9;3;9;9;9;3;9
36;Mujer;5;9;2;9;9;9;9;9;9;9;2;9;9
37;Mujer;4;9;2;9;9;1;9;9;9;9;2;9;9
38;Mujer;5;9;2;9;9;9;9;3;9;9;9;9;9
39;Mujer;5;9;9;3;9;9;2;9;9;9;9;3;9
40;Mujer;1;9;9;3;9;9;2;9;9;1;9;9;9
41;Hombre;3;9;9;3;9;9;9;3;9;9;2;9;9
42;Mujer;5;9;2;9;9;9;2;9;9;1;9;9;9
43;Mujer;4;9;2;9;9;9;9;3;9;1;9;9;9
44;Hombre;5;9;9;3;9;9;9;3;9;9;2;9;9
