Bicentenario  2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO_UNICO;Sexo;Tramo_Edad;Eliminar la pobreza (1);Eliminar la pobreza (2);Eliminar la pobreza (3);Eliminar la pobreza (4);Ser un país desarrollado (1);Ser un país desarrollado (2);Ser un país desarrollado (3);Ser un país desarrollado (4);Detener el daño al medio ambiente (1);Detener el daño al medio ambiente (2);Detener el daño al medio ambiente (3);Detener el daño al medio ambiente (4)
1;1;5;9;2;9;9;9;9;3;9;9;2;9;9
2;2;5;9;2;9;9;9;2;9;9;9;2;9;9
3;2;3;1;9;9;9;9;2;9;9;9;2;9;9
4;1;1;1;9;9;9;1;9;9;9;9;2;9;9
5;2;1;9;2;9;9;9;9;3;9;9;2;9;9
6;1;5;9;2;9;9;9;9;3;9;1;9;9;9
7;1;1;9;2;9;9;9;2;9;9;9;2;9;9
8;2;5;9;2;9;9;9;9;3;9;9;2;9;9
9;2;3;9;2;9;9;9;2;9;9;1;9;9;9
10;1;4;9;2;9;9;9;2;9;9;9;9;9;9
11;2;4;9;9;3;9;9;2;9;9;9;9;3;9
12;2;3;1;9;9;9;9;2;9;9;9;2;9;9
13;2;3;9;2;9;9;9;2;9;9;9;9;3;9
14;1;4;9;2;9;9;1;9;9;9;9;2;9;9
15;2;2;9;2;9;9;9;2;9;9;1;9;9;9
16;2;3;9;2;9;9;9;9;3;9;1;9;9;9
17;2;2;9;2;9;9;9;2;9;9;9;9;3;9
18;1;5;9;9;3;9;9;9;3;9;9;2;9;9
19;2;3;9;2;9;9;9;9;3;9;9;9;3;9
20;1;2;9;2;9;9;9;2;9;9;9;2;9;9
21;1;5;9;2;9;9;9;2;9;9;1;9;9;9
22;2;2;9;2;9;9;9;2;9;9;9;2;9;9
23;2;5;1;9;9;9;9;9;3;9;9;2;9;9
24;2;2;9;9;3;9;9;9;3;9;9;9;3;9
25;2;4;1;9;9;9;1;9;9;9;9;2;9;9
26;1;2;9;2;9;9;9;9;3;9;9;9;3;9
27;1;1;9;2;9;9;9;9;3;9;9;2;9;9
28;1;5;9;2;9;9;9;9;3;9;9;2;9;9
29;1;1;9;2;9;9;1;9;9;9;9;2;9;9
30;2;2;9;9;3;9;9;9;3;9;9;9;3;9
31;2;2;9;2;9;9;9;9;3;9;9;9;3;9
32;2;3;9;2;9;9;9;2;9;9;9;9;3;9
33;2;3;9;2;9;9;9;2;9;9;9;9;3;9
34;1;1;9;2;9;9;9;2;9;9;1;9;9;9
35;2;2;9;2;9;9;9;9;3;9;9;9;3;9
36;1;3;9;9;3;9;9;9;3;9;9;2;9;9
37;1;2;9;9;3;9;1;9;9;9;1;9;9;9
38;2;4;9;2;9;9;9;2;9;9;9;2;9;9
39;1;5;9;2;9;9;9;2;9;9;9;2;9;9
40;1;2;9;9;3;9;9;9;3;9;9;9;3;9
41;2;3;9;2;9;9;9;9;3;9;9;9;3;9
42;1;3;9;2;9;9;9;2;9;9;9;2;9;9
43;2;1;1;9;9;9;9;2;9;9;9;2;9;9
44;2;2;9;2;9;9;9;2;9;9;9;2;9;9
45;1;3;9;9;3;9;9;9;3;9;9;9;3;9
46;2;3;9;2;9;9;1;9;9;9;9;2;9;9
47;2;2;9;2;9;9;9;9;3;9;1;9;9;9
48;2;4;9;2;9;9;9;2;9;9;9;2;9;9
49;1;5;9;2;9;9;9;2;9;9;9;2;9;9
50;1;4;9;2;9;9;9;2;9;9;9;2;9;9
51;1;2;9;9;3;9;9;9;3;9;9;9;3;9
52;2;1;9;2;9;9;9;2;9;9;9;9;3;9
53;1;2;9;2;9;9;9;2;9;9;9;9;3;9
54;2;5;9;9;3;9;9;9;9;4;9;2;9;9
55;1;2;1;9;9;9;9;2;9;9;9;2;9;9
56;1;5;9;2;9;9;9;2;9;9;9;2;9;9
57;1;4;9;2;9;9;9;2;9;9;9;2;9;9
58;1;4;9;2;9;9;9;9;3;9;9;2;9;9
59;2;5;9;2;9;9;9;9;3;9;1;9;9;9
60;2;2;9;2;9;9;9;2;9;9;9;9;3;9
61;2;5;9;2;9;9;9;2;9;9;1;9;9;9
62;2;4;1;9;9;9;9;2;9;9;1;9;9;9
63;1;4;9;2;9;9;9;2;9;9;9;2;9;9
64;2;2;1;9;9;9;1;9;9;9;9;2;9;9
65;1;5;9;2;9;9;9;2;9;9;9;2;9;9
66;2;2;1;9;9;9;9;9;9;4;9;9;9;4
67;2;1;9;9;3;9;9;9;3;9;9;2;9;9
68;2;4;9;2;9;9;9;2;9;9;1;9;9;9
69;2;2;9;2;9;9;9;9;3;9;9;2;9;9
