Bicentenario  2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Folio encuesta;Registrar Sexo;edad_cat;1 - (Eliminar la pobreza) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que ahora o se habr;2 - (Eliminar la pobreza) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que ahora o se habr;3 - (Eliminar la pobreza) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que ahora o se habr;4 - (Eliminar la pobreza) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que ahora o se habr;1 - (Ser un país desarrollado) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que ahora o s;2 - (Ser un país desarrollado) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que ahora o s;3 - (Ser un país desarrollado) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que ahora o s;4 - (Ser un país desarrollado) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que ahora o s;1 - (Detener el daño al medio ambiente) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que;2 - (Detener el daño al medio ambiente) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que;3 - (Detener el daño al medio ambiente) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que;4 - (Detener el daño al medio ambiente) Para comenzar, le voy a enumerar una serie de metas que Chile se ha propuesto para el futuro. Pensando en un plazo de 10 años, ¿Ud. cree que se habrán alcanzado estas metas, se habrá avanzado, se seguirá igual que
100101;2;2;9;9;9;4;9;9;3;9;9;9;3;9
100102;2;3;9;9;3;9;9;9;3;9;9;9;3;9
100103;1;4;9;9;3;9;9;9;3;9;9;2;9;9
100104;2;5;9;9;3;9;9;9;3;9;1;9;9;9
100105;2;2;9;9;3;9;9;2;9;9;9;2;9;9
100106;2;3;9;9;3;9;9;9;3;9;9;9;3;9
100107;2;3;9;9;3;9;9;9;3;9;9;9;3;9
100108;2;2;9;9;3;9;9;9;3;9;9;9;3;9
100109;1;5;9;9;3;9;9;2;9;9;9;9;3;9
100110;2;3;9;9;3;9;9;9;3;9;9;2;9;9
100111;2;3;9;9;3;9;9;9;3;9;9;9;3;9
100201;2;5;9;9;9;4;9;9;3;9;9;9;9;4
100202;1;5;9;9;3;9;9;2;9;9;9;9;3;9
100301;2;4;9;9;3;9;9;2;9;9;9;2;9;9
100302;2;5;9;2;9;9;9;2;9;9;9;2;9;9
100303;1;5;9;9;3;9;9;2;9;9;9;2;9;9
100403;1;1;9;9;9;4;9;9;9;4;9;9;9;4
100405;2;1;9;9;3;9;9;2;9;9;9;9;9;4
100801;1;2;9;9;3;9;9;9;9;9;9;9;3;9
100804;1;4;9;9;3;9;9;9;3;9;9;2;9;9
100805;2;5;9;9;9;4;9;9;9;4;9;9;9;4
100806;2;5;9;9;9;4;9;9;3;9;9;9;3;9
100811;2;4;9;2;9;9;9;9;3;9;9;2;9;9
100902;1;1;9;9;3;9;9;9;3;9;9;9;3;9
101101;2;5;9;9;3;9;9;2;9;9;9;2;9;9
101102;1;5;9;9;3;9;9;9;3;9;9;9;3;9
101103;2;3;9;9;9;4;9;2;9;9;9;9;3;9
101104;2;2;9;9;3;9;9;2;9;9;9;2;9;9
101105;1;2;9;9;3;9;9;2;9;9;9;9;3;9
101106;1;5;9;9;9;4;9;2;9;9;9;9;9;4
101201;2;3;9;2;9;9;9;2;9;9;9;2;9;9
101202;1;4;1;9;9;9;9;2;9;9;9;9;3;9
101203;2;1;9;2;9;9;9;2;9;9;9;2;9;9
101204;2;5;9;9;9;4;9;9;3;9;9;2;9;9
101205;2;2;9;9;3;9;9;9;3;9;9;2;9;9
101206;2;4;9;9;3;9;9;2;9;9;9;2;9;9
101301;1;5;9;9;3;9;9;9;3;9;9;9;3;9
101302;2;5;9;9;3;9;9;2;9;9;9;2;9;9
101303;1;4;9;2;9;9;9;2;9;9;9;9;3;9
101305;2;5;9;9;9;9;1;9;9;9;1;9;9;9
101306;2;4;9;2;9;9;9;9;3;9;9;2;9;9
101307;2;3;9;9;9;4;9;2;9;9;9;9;9;4
101308;2;3;9;9;3;9;9;9;3;9;9;2;9;9
101309;2;5;9;9;3;9;9;9;3;9;9;9;3;9
101310;2;5;9;9;3;9;9;9;3;9;9;2;9;9
101311;2;3;9;9;9;4;9;9;3;9;9;9;3;9
101401;1;5;9;9;3;9;9;2;9;9;9;2;9;9
